City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
302,Mahebourg,MU,-20.4081,57.7,78.26,94,75,11.5,light intensity shower rain,2023-01-19 02:17:35
303,Mehamn,NO,71.0357,27.8492,30.15,74,40,13.8,scattered clouds,2023-01-19 02:17:36
304,Kurikka,FI,62.6167,22.4167,31.08,92,100,6.24,overcast clouds,2023-01-19 02:17:36
305,Nanortalik,GL,60.1432,-45.2371,27.97,86,100,14.54,light snow,2023-01-19 02:17:36
306,Aden,YE,12.7794,45.0367,75.54,72,6,9.1,clear sky,2023-01-19 02:17:37
307,Sherlovaya Gora,RU,50.5667,116.25,-10.46,95,100,9.42,overcast clouds,2023-01-19 02:17:37
308,Kushmurun,KZ,52.4503,64.6311,-9.26,80,16,4.27,few clouds,2023-01-19 02:17:37
309,Bilibino,RU,68.0546,166.4372,-35.14,99,100,1.88,overcast clouds,2023-01-19 02:17:38
310,Sterling,US,39.0062,-77.4286,47.21,73,40,8.05,scattered clouds,2023-01-19 02:13:00
311,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.82,88,0,10.09,clear sky,2023-01-19 02:15:28
312,Espinosa,BR,-14.9261,-42.8192,66.61,89,3,3.71,clear sky,2023-01-19 02:17:38
313,Lebedinyy,RU,58.5167,125.5167,-48.28,98,100,2.59,overcast clouds,2023-01-19 02:17:38
314,Te Anau,NZ,-45.4167,167.7167,78.17,29,37,6.13,scattered clouds,2023-01-19 02:17:39
315,Monte Santo,BR,-10.4378,-39.3328,71.76,71,76,7.99,broken clouds,2023-01-19 02:17:39
316,Mangan,IN,27.5167,88.5333,51.64,46,1,3.15,clear sky,2023-01-19 02:17:39
317,Poya,NC,-21.35,165.15,82.38,59,3,12.66,clear sky,2023-01-19 02:17:40
318,Susanville,US,40.4163,-120.653,33.8,93,100,4.61,overcast clouds,2023-01-19 02:17:40
319,Rock Sound,BS,24.9,-76.2,75.31,62,93,13.71,overcast clouds,2023-01-19 02:17:40
320,Oranjestad,AW,12.524,-70.027,78.91,85,20,14.97,few clouds,2023-01-19 02:17:41
321,Aklavik,CA,68.2191,-135.0107,-5.51,100,100,1.77,overcast clouds,2023-01-19 02:17:41
322,Spencer,US,43.1414,-95.1444,30.31,89,100,21.85,snow,2023-01-19 02:17:41
323,Vilyuysk,RU,63.7553,121.6247,-61.65,99,83,4.72,broken clouds,2023-01-19 02:17:41
324,Fuerte Olimpo,PY,-21.0415,-57.8738,76.03,82,68,2.62,broken clouds,2023-01-19 02:17:42
325,Bengkulu,ID,-3.8004,102.2655,77.4,85,99,4.88,overcast clouds,2023-01-19 02:17:42
326,Kieta,PG,-6.2167,155.6333,85.5,73,57,12.5,light rain,2023-01-19 02:17:42
327,Fairbanks,US,64.8378,-147.7164,-11.24,78,20,0.0,few clouds,2023-01-19 02:14:43
328,Kodinsk,RU,58.6881,99.1844,-47.65,100,98,2.95,overcast clouds,2023-01-19 02:17:43
329,Broome,US,42.2506,-75.833,37.71,89,100,6.91,overcast clouds,2023-01-19 02:17:43
330,Chau Doc,VN,10.7,105.1167,72.27,74,100,9.84,overcast clouds,2023-01-19 02:17:43
331,Tonantins,BR,-2.8731,-67.8022,72.25,98,100,2.68,overcast clouds,2023-01-19 02:17:44
332,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,83,0,3.44,clear sky,2023-01-19 02:17:44
333,Mayo,US,38.8876,-76.5119,47.5,74,0,9.22,clear sky,2023-01-19 02:17:44
334,Zyryanka,RU,65.75,150.85,-20.97,97,100,11.41,overcast clouds,2023-01-19 02:17:45
335,Okha,RU,53.5739,142.9478,-23.73,93,23,10.25,few clouds,2023-01-19 02:17:45
336,Sitka,US,57.0531,-135.33,37.29,87,100,8.05,moderate rain,2023-01-19 02:17:45
337,Viedma,AR,-40.8135,-62.9967,71.01,75,91,14.58,overcast clouds,2023-01-19 02:17:46
338,Teshie,GH,5.5836,-0.1072,80.42,80,91,7.25,overcast clouds,2023-01-19 02:17:46
339,Upernavik,GL,72.7868,-56.1549,-18.65,74,100,4.79,overcast clouds,2023-01-19 02:17:46
340,Onega,RU,63.9061,38.1404,31.62,97,100,14.29,snow,2023-01-19 02:17:47
341,Umbauba,BR,-11.3833,-37.6578,71.67,91,6,3.02,clear sky,2023-01-19 02:17:47
342,Acarau,BR,-2.8856,-40.12,77.22,85,100,10.25,overcast clouds,2023-01-19 02:17:47
343,Warwick,US,41.7001,-71.4162,44.1,75,20,12.66,few clouds,2023-01-19 02:17:47
344,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,81,100,12.66,overcast clouds,2023-01-19 02:17:48
345,Kargasok,RU,59.0556,80.8572,5.85,96,100,7.7,overcast clouds,2023-01-19 02:17:48
346,Yerbogachen,RU,61.2767,108.0108,-37.03,98,100,1.63,overcast clouds,2023-01-19 02:17:48
347,Marsa Matruh,EG,31.3525,27.2453,56.77,71,0,11.36,clear sky,2023-01-19 02:17:49
348,Payson,US,40.0444,-111.7321,30.58,77,100,3.44,overcast clouds,2023-01-19 02:17:49
349,Labuhan,ID,-6.8844,112.2051,79.68,82,100,9.04,overcast clouds,2023-01-19 02:17:49
350,Berdigestyakh,RU,62.0989,126.6992,-45.13,96,100,5.21,overcast clouds,2023-01-19 02:17:50
351,Filiatra,GR,37.15,21.5833,62.69,81,5,20.56,clear sky,2023-01-19 02:17:50
352,Nouadhibou,MR,20.931,-17.0347,62.58,77,19,23.02,few clouds,2023-01-19 02:17:51
